stock,strategy,trades,wins,win_rate,avg_ret,total_ret,bh_ret
WIPRO,CAM_BREAK_LONG,16,7,0.4375,-0.0022858629687271884,-0.03727198567851542,-0.09972330729166667
ONGC,STD_BOUNCE_LONG,24,10,0.4166666666666667,-0.002750500850802348,-0.06565318443041279,-0.06979318592485961
ONGC,STD_BOUNCE_SHORT,22,14,0.6363636363636364,0.0018585333629796065,0.0384356627238871,-0.06979318592485961
ONGC,STD_BREAK_LONG,8,2,0.25,-0.006200025188215663,-0.048750319243980766,-0.06979318592485961
ONGC,FIB_BOUNCE_LONG,35,19,0.5428571428571428,-0.0018846555263247141,-0.06648911085400888,-0.06979318592485961
ONGC,FIB_BOUNCE_SHORT,25,15,0.6,-1.5106684460723766e-05,-0.0033656915273030386,-0.06979318592485961
ONGC,CAM_L3_LONG,32,10,0.3125,-0.0019211230004412894,-0.060486596541661775,-0.06979318592485961
ONGC,CAM_S3_SHORT,32,15,0.46875,0.0016041408255744252,0.051611180773792675,-0.06979318592485961
ONGC,CAM_BREAK_LONG,8,2,0.25,-0.0036505031568109247,-0.029299984309196447,-0.06979318592485961
NTPC,STD_BOUNCE_LONG,29,14,0.4827586206896552,0.0002796886380848955,0.005672078040880768,-0.0653820760226329
NTPC,STD_BOUNCE_SHORT,20,8,0.4,-0.0020372737932861152,-0.04080579286755848,-0.0653820760226329
NTPC,STD_BREAK_LONG,13,3,0.23076923076923078,-0.0053741081775103665,-0.06814925497372326,-0.0653820760226329
NTPC,FIB_BOUNCE_LONG,27,12,0.4444444444444444,-0.0016338924593887398,-0.04512932361233091,-0.0653820760226329
NTPC,FIB_BOUNCE_SHORT,26,15,0.5769230769230769,0.0016226791553546423,0.041059205028099344,-0.0653820760226329
NTPC,CAM_L3_LONG,36,13,0.3611111111111111,-0.0010255173404506463,-0.03760020272237674,-0.0653820760226329
NTPC,CAM_S3_SHORT,28,15,0.5357142857142857,0.0020749450006313512,0.05860784263775787,-0.0653820760226329
NTPC,CAM_BREAK_LONG,11,2,0.18181818181818182,-0.005297094876877886,-0.05713774522669357,-0.0653820760226329
POWERGRID,STD_BOUNCE_LONG,18,10,0.5555555555555556,0.001335882196767625,0.0230038391614813,-0.02710026988206693
POWERGRID,STD_BOUNCE_SHORT,19,12,0.631578947368421,0.0001881269544122182,0.0029079692840232596,-0.02710026988206693
