stock,strategy,trades,wins,win_rate,avg_ret,total_ret,bh_ret,edge_vs_bh
ULTRACEMCO,CAM_S3_SHORT,38,13,0.3421052631578947,-0.0006473127796808999,-0.02558837721218965,-0.0778514363420024,0.052263059129812744
ULTRACEMCO,CAM_R4_BREAKOUT_LONG,20,10,0.5,-0.0022479774887405,-0.044959911878832304,-0.0778514363420024,0.03289152446317009
ULTRACEMCO,CAM_S4_BREAKDOWN_SHORT,23,11,0.4782608695652174,-0.0018936491632527998,-0.04318506221580076,-0.0778514363420024,0.03466637412620163
TITAN,STD_S1_BOUNCE_LONG,35,16,0.4571428571428571,-0.0003764215781634999,-0.014877891508875862,-0.0310096153846153,0.016131723875739436
TITAN,STD_R1_BOUNCE_SHORT,25,12,0.48,-0.0006767167924249999,-0.017914835437561005,-0.0310096153846153,0.013094779947054293
TITAN,STD_R1_BREAKOUT_LONG,16,8,0.5,-0.0031878445429413,-0.0511086535237234,-0.0310096153846153,-0.020099038139108103
TITAN,STD_S1_BREAKDOWN_SHORT,30,12,0.4,-0.0028082066964816,-0.081962454019468,-0.0310096153846153,-0.0509528386348527
TITAN,FIB_S1_BOUNCE_LONG,39,17,0.4358974358974359,-0.0013402754401176998,-0.05178674170523567,-0.0310096153846153,-0.020777126320620374
TITAN,FIB_R1_BOUNCE_SHORT,30,13,0.4333333333333333,-0.0007695065383379999,-0.023492470416986655,-0.0310096153846153,0.007517144967628644
TITAN,CAM_L3_LONG,45,20,0.4444444444444444,0.00024018036157010008,0.009372843101743689,-0.0310096153846153,0.04038245848635899
TITAN,CAM_S3_SHORT,41,21,0.5121951219512195,0.001306465657547,0.05370228037541214,-0.0310096153846153,0.08471189576002744
TITAN,CAM_R4_BREAKOUT_LONG,15,7,0.4666666666666667,-0.0022047591462141,-0.03392156152067871,-0.0310096153846153,-0.0029119461360634126
TITAN,CAM_S4_BREAKDOWN_SHORT,26,15,0.5769230769230769,-0.0011738431369666999,-0.030816628831515813,-0.0310096153846153,0.0001929865530994855
NESTLEIND,STD_S1_BOUNCE_LONG,21,12,0.5714285714285714,0.001466150993384,0.03049249580273017,0.1572942135289323,-0.12680171772620213
NESTLEIND,STD_R1_BOUNCE_SHORT,31,19,0.6129032258064516,0.0022565807355091,0.07149492862600204,0.1572942135289323,-0.08579928490293026
NESTLEIND,STD_R1_BREAKOUT_LONG,24,8,0.3333333333333333,-0.0037379481433835998,-0.0865187594726281,0.1572942135289323,-0.2438129730015604
NESTLEIND,STD_S1_BREAKDOWN_SHORT,15,7,0.4666666666666667,-0.0020146487945750997,-0.030319055321252897,0.1572942135289323,-0.1876132688501852
NESTLEIND,FIB_S1_BOUNCE_LONG,35,25,0.7142857142857143,0.0032899538527022,0.12117872003206775,0.1572942135289323,-0.03611549349686455
NESTLEIND,FIB_R1_BOUNCE_SHORT,40,16,0.4,1.774747353520999e-05,-5.567053214494688e-05,0.1572942135289323,-0.15734988406107725
NESTLEIND,CAM_L3_LONG,38,20,0.5263157894736842,0.0013961433362372,0.05343906042319513,0.1572942135289323,-0.10385515310573717
